"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-21",,,,,,,,,"0.0","T,,7,0730","0.0","T,,7,","0.0","T,,7,",,,"1.1",",,7","-3.9",",,7","0.6",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-22",,,,,,,,,"0.0","T,,7,0730","0.0","T,,7,","0.0","T,,7,",,,"2.2",",,7","-6.7",",,7","-6.1",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-23",,,,,,,,,"0.0",",,7,0730","0.0",",,7,","0.0","T,,7,",,,"-1.7",",,7","-6.1",",,7","-6.1",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-24",,,,,,,,,"7.9",",,7,0730","0.0",",,7,","0.0",",,7,",,,"8.3",",,7","-6.1",",,7","5.6",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-25",,,,,,,,,"0.3",",,7,0730","0.0",",,7,","0.0",",,7,",,,"8.3",",,7","5.0",",,7","5.0",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-26",,,,,,,,,"10.4",",,7,0730","10.0",",,7,","0.0","T,,7,",,,"7.2",",,7","0.6",",,7","0.6",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,,,,,"    1",",,7"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-27",,,,,,,,,"2.8",",,7,0730","18.0",",,7,","0.0","T,,7,",,,"1.1",",,7","-3.3",",,7","-2.8",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-28",,,,,,,,,"0.0","T,,7,0730","0.0","T,,7,","0.0","T,,7,",,,"-1.1",",,7","-3.9",",,7","-3.9",",,7,0730",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-29",,,,,,,,,"0.0","T,,7,0730","0.0","T,,7,","0.0","T,,7,",,,"-2.2",",,7","-5.0",",,7","-5.0",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,"    1",",,7",,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-11-30",,,,,,,,,"1.0",",,7,0730","10.0",",,7,","0.0","T,,7,",,,"-0.6",",,7","-5.0",",,7","-0.6",",,7,0730",,,,,,,,,,,,,"    1",",,7",,,,,,,,,"    1",",,7",,,,
